id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,235880,169,-9,1,1,2,26809023.69
26,235880,169,-9,1,1,3,465426.87
26,235880,169,-9,1,1,6,8767829.35
26,235880,169,-9,1,1,9,3533500.0
26,235880,169,-9,1,2,3,3062000.0
26,235880,169,-9,1,2,9,877.28
26,264359,86567,-9,1,1,6,0.0
26,267175,1,-9,1,1,2,120946191.03
26,267175,1,-9,1,1,6,2105170.3
26,267175,1,-9,1,1,7,598491.35
26,267175,1,-9,1,1,9,50898524.34
26,267175,1,36554,1,1,2,42568185.11
26,267175,1,36554,1,1,6,0.0
26,267175,1,36554,1,2,2,0.0
26,2846,119672,-9,1,1,2,11974236.81
26,2852,227,-9,1,1,2,2934.82
26,14,25,-9,1,1,2,0.0
26,2852,76608,-9,1,1,2,0.0
26,72084,984,2959,2,1,2,0.0
26,72084,1782,-9,2,1,6,0.0
26,235876,3,-9,2,1,2,640500.0
26,235876,7,-9,2,1,2,500000.0
26,235881,173,87887,2,1,2,0.0
26,244,52702,-9,2,1,2,1700.0
26,72084,2330,-9,2,1,2,0.0
26,72084,2330,-9,2,1,6,0.0
26,235876,956,-9,2,1,2,3119745.5
26,244,1734,-9,2,1,2,14427.64
26,244,475,-9,2,1,2,12870.0
26,244,476,-9,2,1,2,0.0
26,244,477,-9,2,1,2,1086070.0
26,244,477,-9,2,1,6,500000.0
26,244,477,-9,2,1,9,0.0
26,244,477,-9,2,2,2,0.0
26,244,970,-9,2,1,2,6575.2
26,244,1209,-9,2,1,2,0.0
26,244,1605,-9,2,1,2,27692.02
26,244,1710,-9,2,1,2,2245.0
26,267175,8,-9,2,1,2,574568.27285
26,267175,8,-9,2,1,6,0.0
26,267175,8,-9,2,2,2,0.0
26,244,473,-9,2,1,2,120632.15
26,244,473,-9,2,1,9,0.0
26,244,474,-9,2,1,2,3854.0
26,244,260,-9,2,1,2,0.0
26,244,465,-9,2,1,2,15190.0
26,244,468,-9,2,1,2,34745.26
26,244,469,-9,2,1,2,0.0
26,244,470,-9,2,1,2,18826.4
26,244,471,-9,2,1,2,0.0
26,244,472,-9,2,1,2,15197.6
26,244,472,-9,2,1,9,0.0
26,304,315,-9,2,2,2,215565.0
26,244,250,-9,2,1,2,1049940.04
26,244,250,-9,2,1,9,0.0
26,244,94739,-9,2,1,2,8612.5
26,244,69624,-9,2,1,2,0.0
26,244,84703,-9,2,1,2,8500.29
26,244,84712,-9,2,1,2,0.0
26,304,2207,-9,2,2,2,33276701.46
26,304,2207,-9,2,2,3,7878059.84
26,304,2207,-9,2,2,6,0.0
26,304,2207,-9,2,2,7,0.0
26,304,2207,-9,2,2,9,3108306.61
26,41066,120851,115639,3,1,2,23022588.0
26,41066,120851,115639,3,1,6,22418419.49
26,41066,120851,115639,3,1,7,45729497.0
26,41066,120851,115639,3,1,9,7344553.66
26,235874,72571,237191,3,2,2,212321190.4
26,235874,72571,237191,3,2,6,17765289.0
26,235874,72571,237191,3,2,7,18770531.0
26,235874,72571,237191,3,2,8,0.0
26,235874,72571,237191,3,2,9,3100000.0
26,235881,9518,-9,3,1,2,424425.07
26,235881,9518,-9,3,1,6,426968.62
26,235881,9518,-9,3,1,7,0.0
26,41066,48,58,3,1,9,640634.57
26,41066,48,68,3,1,2,-85.2222
26,41066,94,84156,3,1,2,16416.0
26,41066,185,195,3,1,2,-3313.681446
26,235874,1945,77782,3,1,6,6149993.0
26,235874,1945,77782,3,2,2,31173216.26
26,235874,1945,77782,3,2,6,1550000.0
26,235874,36670,74079,3,1,2,1787131.63
26,235874,36670,74079,3,1,6,0.0
26,235874,36670,74079,3,1,8,0.0
26,235881,324,75394,3,1,2,0.0
26,235881,334,-9,3,1,2,0.0
26,235874,72571,-9,3,2,2,1458921.38
26,235881,1956,89690,3,1,6,0.0
26,235881,9053,-9,3,1,6,0.0
26,235881,9053,-9,3,1,7,1233552.42
26,14,3520,-9,3,1,2,26050675.0
26,14,3520,-9,3,1,6,6783350.0
26,14,3520,-9,3,1,7,71132195.16
26,14,3520,-9,3,1,9,137056076.35
26,244,3243,8928,3,1,2,266700084.77
26,14,3200,2817,3,1,2,0.0
26,14,3200,2818,3,1,8,0.0
26,235881,263749,-9,3,1,2,4806243.64
26,235881,263749,-9,3,1,6,8468308.38
26,235881,263749,-9,3,1,7,22988573.28
26,235881,263749,-9,3,1,9,1320639.34
26,235876,1929,1696,3,1,2,148008.2
26,235876,3236,237327,3,1,2,430529.48
26,235876,235974,1986,3,1,2,3673977.66
26,264359,265884,266830,3,1,2,206932369.86
26,264359,265884,266830,3,1,6,550000.0
26,235876,77,236554,3,1,2,160650.0
26,14,3200,2816,3,1,8,0.0
26,14,3200,2816,3,1,9,5304.0
26,244,1975,-9,3,1,2,626781.0
26,14,3200,2791,3,1,2,0.0
26,14,3200,2791,3,1,8,0.0
26,244,766,-9,3,1,2,0.0
26,14,3200,2791,3,1,9,0.0
26,14,3200,2793,3,1,9,0.0
26,14,3200,2798,3,1,2,0.0
26,14,3200,2803,3,1,2,551632.5
26,14,3200,2808,3,1,2,574510.0
26,14,3200,2773,3,1,8,170141.4
26,14,3200,2773,3,1,9,22042.11
26,214460,88353,88721,3,1,2,515040.0
26,219925,73235,-9,3,1,2,145940.99
26,219925,73235,-9,3,1,6,625141.0
26,235880,43032,-9,3,1,2,21671539.31
26,235880,43032,-9,3,1,3,0.0
26,235880,43032,-9,3,1,6,0.0
26,235880,43032,-9,3,1,9,0.0
26,267175,10,-9,3,1,2,2221397.1
26,219924,244460,-9,3,1,2,0.0
26,235880,38348,-9,3,1,2,29143957.61
26,235880,38348,-9,3,1,6,0.0
26,235880,38348,-9,3,1,7,0.0
26,235880,38348,-9,3,1,9,0.0
26,1927,3205,38207,3,1,2,662148.69
26,1927,3205,38207,3,1,6,1228361.97
26,219925,68487,-9,3,1,2,0.0
26,219925,68487,-9,3,1,6,15264782.8
26,219925,68487,-9,3,1,8,0.0
26,219925,68487,-9,3,1,9,0.0
26,219925,68554,-9,3,1,2,96118.16
26,219925,68554,-9,3,2,2,1594442.0
26,235880,42802,252432,3,1,2,0.0
26,235880,42802,252432,3,1,6,225100.0
26,267175,11,115227,3,1,2,6320403.56
26,267175,11,115227,3,1,3,2926423.05
26,267175,11,115227,3,1,6,0.0
26,267175,11,115227,3,1,7,0.0
26,267175,11,115227,3,1,9,5271258.75
26,219925,74378,-9,3,1,2,11109977.54
26,219925,74378,-9,3,1,6,5215966.26
26,219925,74378,-9,3,1,9,1222766.56
26,267175,3234,217152,3,1,2,2741980.0
26,267175,3234,217152,3,1,9,0.0
26,2846,74710,-9,3,1,2,107048.28
26,2846,92748,-9,3,1,2,0.0
26,2852,-9,-9,3,1,2,0.0
26,219925,74380,-9,3,1,2,2095027.7
26,219925,74380,-9,3,1,6,1664105.7
