id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,235880,169,-9,1,1,2,7622743.33
26,235880,169,-9,1,1,6,5148716.0
26,235880,169,-9,1,2,9,1171257.58
26,267175,1,-9,1,1,2,0.0
26,267175,1,-9,1,1,6,100000.0
26,267175,1,36554,1,1,2,27213661.13
26,267175,1,36554,1,1,6,2056983.06
26,72084,1782,-9,2,1,6,21974.0
26,235876,7,-9,2,1,2,300000.0
26,244,477,-9,2,1,2,2940.0
26,244,477,-9,2,2,2,625000.0
26,244,970,-9,2,1,2,14754.58
26,244,1710,-9,2,1,2,0.0
26,244,1734,-9,2,1,2,5393.0
26,244,475,-9,2,1,2,8850.0
26,244,260,-9,2,1,2,0.0
26,244,472,-9,2,1,2,260000.0
26,244,473,-9,2,1,9,66150.0
26,304,2207,-9,2,2,2,37100.41
26,304,2207,-9,2,2,3,0.0
26,304,2207,-9,2,2,9,0.0
26,244,250,-9,2,1,9,0.0
26,244,84712,-9,2,1,2,4893.0
26,235881,263749,-9,3,1,2,13566332.68
26,235881,263749,-9,3,1,6,1277614.16
26,235881,263749,-9,3,1,7,14164685.41
26,41066,120851,115639,3,1,2,3233000.0
26,41066,120851,115639,3,1,6,7556823.0
26,235874,72571,237191,3,2,9,30002911.61
26,14,3520,-9,3,1,6,500000.0
26,244,3243,8928,3,1,2,0.0
26,14,3200,2791,3,1,2,0.0
26,14,3200,2791,3,1,8,0.0
26,14,3200,2791,3,1,9,0.0
26,235880,38348,-9,3,1,2,1060263.83
26,235880,42802,252432,3,1,2,0.0
26,235880,42802,252432,3,1,6,373105.3
26,2846,74710,-9,3,1,2,625000.0
26,267175,75234,-9,3,1,2,0.0
26,267175,75234,-9,3,1,9,620160.92
26,-9,-9,-9,3,2,9,477778.0
26,14,214528,-9,3,2,2,388685.0
26,14,214528,-9,3,1,2,0.0
26,304,3273,46664,3,2,2,34495078.07
26,304,3273,46664,3,2,9,39738376.0
26,1927,3205,38207,3,1,2,1230758.91
26,41066,48,53,3,1,2,1427324.47
26,41066,48,58,3,1,9,112435.12
26,72084,2045,42743,4,1,3,0.0
26,244,430,-9,4,1,2,176359.08
26,244,431,-9,4,1,2,1396.23
26,244,67671,-9,4,1,2,2396.0
26,72084,2045,42743,4,1,9,0.0
26,235876,240,-9,4,1,2,23337068.41
26,72084,2045,42745,4,1,6,0.0
26,244,423,11806,4,1,2,250.0
26,244,423,23295,4,1,2,4765305.0
26,244,428,-9,4,1,2,2659136.13
26,244,423,23297,4,1,2,0.0
26,244,424,-9,4,1,2,500.0
26,244,426,14131,4,1,2,1500.0
26,244,104667,-9,4,1,2,14291.74
26,2846,54844,-9,4,1,2,0.0
26,235880,46876,-9,4,1,2,960900.0
26,1927,91842,-9,4,1,6,84193.97
26,1927,91842,-9,4,1,9,177061.86
26,235880,367,-9,4,1,6,612306.54
26,267175,4243,-9,4,1,2,14490.3
26,235880,91144,-9,4,1,2,0.0
26,2852,21089,-9,4,1,2,460748.01
26,235880,91138,-9,4,1,2,236763.0
26,244,423,11784,4,1,2,5393.0
26,244,423,11788,4,1,2,3052.8
26,244,464,-9,4,1,2,0.0
26,14,1799,4037,4,1,2,1136729.8
26,244,420,-9,4,1,2,850.0
26,244,421,-9,4,1,2,3350.0
26,244,423,11754,4,1,2,0.0
26,244,100916,-9,4,1,2,3390.0
26,244,463,-9,4,1,2,1092496.28
26,244,463,-9,4,1,9,415610.0
26,244,461,-9,4,1,2,1530.0
26,89,-9,-9,4,1,2,14090.0
26,244,453,-9,4,1,2,0.0
26,244,454,-9,4,1,2,4880.0
26,244,249,-9,4,1,2,570970.56
26,244,454,32900,4,1,2,0.0
26,244,458,-9,4,1,2,0.0
26,244,253,-9,4,1,2,6776296.17
26,244,253,-9,4,1,3,1187248.03
26,244,253,-9,4,1,8,261770.0
26,244,253,-9,4,1,9,12020990.54
26,244,84710,-9,4,1,2,358.87
26,244,432,-9,4,1,2,11851.38
26,244,439,-9,4,1,2,0.0
26,1927,1812,-9,4,1,9,324919.55
26,2852,228,-9,6,1,2,2346.0
