id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,42670,169,-9,1,1,2,2537699.8
26,42670,169,-9,1,1,3,227835.47
26,42670,169,-9,1,1,6,2403500.0
26,42670,169,-9,1,2,3,0.0
26,1988,1,36554,1,1,2,41075430.9
26,1988,1,36554,1,2,2,1570607.5
26,1988,1,-9,1,1,2,8388694.95
26,1988,1,-9,1,1,3,10223574.1
26,1988,1,-9,1,1,6,28887807.76
26,244,250,-9,2,1,2,1916536.58
26,244,471,-9,2,1,2,14081.0
26,244,473,-9,2,1,2,0.0
26,244,475,-9,2,1,2,14490.64
26,244,475,-9,2,2,2,690270.09
26,244,477,-9,2,1,2,0.0
26,244,970,-9,2,1,2,2000.0
26,304,315,-9,2,2,2,1000000.0
26,304,2207,-9,2,2,3,62174433.44
26,304,2207,-9,2,2,6,789378.5
26,244,827,-9,2,1,2,0.0
26,304,2207,-9,2,2,2,1832967.67
26,1988,8,-9,2,1,2,760500.0
26,1988,8,-9,2,1,3,2761186.78
26,1988,8,-9,2,2,2,1000000.0
26,244,470,-9,2,1,2,396.0
26,1926,984,2959,2,1,2,32470.59
26,244,1710,-9,2,1,2,10000.17
26,244,84712,-9,2,1,2,18336.61
26,244,94739,-9,2,1,2,13305.62
26,244,1605,-9,2,1,2,0.0
26,41066,185,199,3,1,3,0.0
26,-9,-9,-9,3,1,2,6201763.67
26,-9,-9,-9,3,2,2,0.0
26,14,-9,-9,3,1,2,0.0
26,14,3520,-9,3,1,2,9979971.03
26,14,3520,-9,3,1,6,500000.0
26,14,2779,-9,3,1,2,0.0
26,14,2781,-9,3,1,2,0.0
26,14,2793,-9,3,1,2,0.0
26,14,2796,-9,3,1,2,0.0
26,42670,38348,-9,3,1,2,5688443.0
26,14,2808,-9,3,1,2,0.0
26,14,2818,-9,3,1,2,0.0
26,42670,42802,73883,3,1,2,0.0
26,42670,42802,73883,3,1,6,100000.0
26,1988,12,-9,3,1,2,800000.0
26,2844,75313,-9,3,1,2,2263846.56
26,2844,75313,-9,3,1,6,60000.0
26,42672,74019,-9,3,1,2,12245.77
26,42670,43032,-9,3,1,3,60101634.8
26,1988,2058,-9,3,1,2,1214866.28
26,2846,3412,8956,3,1,2,163460.0
26,214460,88353,88721,3,1,2,0.0
26,42670,72104,-9,3,1,2,1015000.0
26,42670,72104,-9,3,1,3,8892632.39
26,1988,3234,47229,3,1,2,44613626.0
