id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,2852,76608,-9,1,1,2,0.0
26,244,117267,201446,1,2,2,0.0
26,2846,119672,-9,1,1,2,3227224.77
26,2846,119672,-9,1,1,9,553169.36
26,2852,227,-9,1,1,2,27757.61
26,14,25,-9,1,1,2,1469414.0
26,235880,169,-9,1,1,2,23201231.27
26,235880,169,-9,1,1,3,34034147.03
26,235880,169,-9,1,1,6,8214111.85
26,235880,169,-9,1,1,9,1833600.0
26,235880,169,-9,1,2,3,2327719.75
26,267175,1,-9,1,1,2,206024458.44
26,267175,1,-9,1,1,3,0.0
26,267175,1,-9,1,1,6,47412532.77
26,267175,1,-9,1,1,7,0.0
26,267175,1,-9,1,1,9,12946935.0
26,267175,1,36554,1,1,2,68078323.37
26,267175,1,36554,1,1,3,0.0
26,267175,1,36554,1,1,6,2356983.06
26,267175,1,36554,1,2,2,0.0
26,304,315,-9,2,2,2,218615.0
26,304,2207,-9,2,2,2,77138406.38
26,304,2207,-9,2,2,3,11959767.68
26,304,2207,-9,2,2,6,5654074.85
26,304,2207,-9,2,2,7,780427.4
26,304,2207,-9,2,2,9,958259.91
26,72084,984,2959,2,1,2,35735.1
26,72084,1782,-9,2,1,6,508906.0
26,244,473,-9,2,1,2,0.0
26,244,474,-9,2,1,2,0.0
26,244,260,-9,2,1,2,21856.4
26,244,94739,-9,2,1,2,16956.72
26,244,1710,-9,2,1,2,0.0
26,244,250,-9,2,1,2,0.0
26,244,477,-9,2,1,2,0.0
26,244,477,-9,2,1,6,0.0
26,244,477,-9,2,2,2,0.0
26,244,250,-9,2,1,9,5948458.96
26,244,465,-9,2,1,2,0.0
26,244,475,-9,2,1,2,1200.0
26,244,476,-9,2,1,2,0.0
26,244,970,-9,2,1,2,35060.15
26,244,468,-9,2,1,2,19998.15
26,244,469,-9,2,1,2,24250.43
26,244,1209,-9,2,1,2,0.0
26,244,1605,-9,2,1,2,1554.33
26,244,470,-9,2,1,2,29338.63
26,244,472,-9,2,1,2,254454.06
26,235876,3,-9,2,1,2,9024.66
26,235876,7,-9,2,1,2,0.0
26,244,52702,-9,2,1,2,0.0
26,72084,2330,-9,2,1,6,0.0
26,244,69624,-9,2,1,2,9801.73
26,244,84703,-9,2,1,2,46488.49
26,235876,956,-9,2,1,2,3121895.44
26,244,84712,-9,2,1,2,27454.25
26,244,1734,-9,2,1,2,1600.0
26,267175,8,-9,2,1,2,6806344.93335
26,267175,8,-9,2,2,2,0.0
26,263,2034,237447,3,1,2,21971440.92
26,263,2034,237447,3,1,9,6000000.0
26,263,42767,-9,3,1,2,-7903.5048
26,41066,48,53,3,1,2,11509059.83
26,41066,185,195,3,1,2,26890.458115
26,41066,185,95586,3,1,2,0.0
26,2846,74710,-9,3,1,2,0.0
26,41066,120851,115639,3,1,2,-7447999.0
26,41066,120851,115639,3,1,6,-8363080.94
26,41066,120851,115639,3,1,7,-6000000.0
26,2846,92748,-9,3,1,2,0.0
26,2852,-9,-9,3,1,2,0.0
26,244,239882,-9,3,1,2,2690823.25
26,304,3273,9073,3,2,2,50267140.0
26,72084,1926,3662,3,1,6,0.0
26,2846,3412,8955,3,1,2,0.0
26,14,3200,2773,3,1,9,1087520.16
26,14,3200,2776,3,1,2,0.0
26,304,3273,46664,3,2,2,3545979622.44
26,304,3273,46664,3,2,3,6184400.0
26,304,3273,46664,3,2,6,319366131.49
26,304,3273,46664,3,2,7,24084986.0
26,304,3273,46664,3,2,8,0.0
26,14,2030,-9,3,1,2,2298253.0
26,14,2030,-9,3,1,9,0.0
