id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,42670,169,-9,1,1,2,6952700.0
26,42670,169,-9,1,1,3,1242500.0
26,42670,169,-9,1,1,6,2998114.64
26,42670,169,-9,1,2,3,0.0
26,2852,76608,-9,1,1,2,0.0
26,1988,1,36554,1,1,2,37875171.69
26,1988,1,36554,1,2,2,0.0
26,244,117267,-9,1,2,2,0.0
26,1988,1,-9,1,1,2,14938478.21
26,1988,1,-9,1,1,3,25146338.24
26,1988,1,-9,1,1,6,25011654.44
26,2852,227,-9,1,1,2,1014358.48
26,2852,227,-9,1,1,3,0.0
26,244,250,-9,2,1,2,6967089.74
26,244,260,-9,2,1,2,14800.0
26,244,470,-9,2,1,2,17757.52
26,244,471,-9,2,1,2,4047.0
26,244,477,-9,2,1,2,905399.99
26,2981,7,-9,2,1,2,0.0
26,2981,956,-9,2,1,2,0.0
26,244,475,-9,2,1,2,1500.0
26,244,475,-9,2,2,2,0.0
26,244,970,-9,2,1,2,0.0
26,244,473,-9,2,1,2,1378.61
26,304,315,-9,2,2,2,0.0
26,304,2207,-9,2,2,2,16683294.34
26,304,2207,-9,2,2,3,61047949.95
26,304,2207,-9,2,2,6,4268486.05
26,244,827,-9,2,1,2,69646.61
26,1988,8,-9,2,1,2,7350658.0
26,1988,8,-9,2,1,3,0.0
26,1988,8,-9,2,2,2,0.0
26,244,468,-9,2,1,2,1600.0
26,1926,984,2959,2,1,2,0.0
26,244,1710,-9,2,1,2,524.37
26,244,1734,-9,2,1,2,0.0
26,1926,1782,-9,2,1,2,194995.0
26,1926,2330,-9,2,1,2,1600000.0
26,1926,2330,-9,2,1,6,0.0
26,244,84703,-9,2,1,2,2000.0
26,316,173,87887,2,1,2,0.0
26,244,84712,-9,2,1,2,840.0
26,244,94739,-9,2,1,2,2000.0
26,244,1605,-9,2,1,2,5000.14
26,41066,185,199,3,1,3,0.0
26,41066,185,748,3,1,2,0.0
26,-9,-9,-9,3,1,2,4064633.77
26,-9,-9,-9,3,1,6,6163550.0
26,-9,-9,-9,3,2,2,0.0
26,14,-9,-9,3,1,2,0.0
26,14,3520,-9,3,1,2,250000.0
26,14,3520,-9,3,1,6,100000.0
26,14,2030,-9,3,1,2,595698.0
26,14,2779,-9,3,1,2,0.0
26,14,2781,-9,3,1,2,0.0
26,14,2793,-9,3,1,2,5427838.0
26,14,2796,-9,3,1,2,0.0
