id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,244,117267,201446,1,2,2,6382.0
26,2852,227,-9,1,1,2,0.0
26,14,25,-9,1,1,2,0.0
26,267175,1,-9,1,1,2,377556.04
26,267175,1,-9,1,1,6,640566.61
26,267175,1,-9,1,1,7,0.0
26,267175,1,36554,1,1,2,8001773.24
26,235880,169,-9,1,1,2,260300.0
26,235880,169,-9,1,1,3,6802692.75
26,235880,169,-9,1,1,6,4429562.04
26,235880,169,-9,1,2,3,0.0
26,304,2207,-9,2,2,2,8743628.29
26,304,2207,-9,2,2,3,5425824.28
26,304,2207,-9,2,2,6,2299101.89
26,304,2207,-9,2,2,7,0.0
26,304,2207,-9,2,2,9,450000.0
26,72084,1782,-9,2,1,6,242835.58
26,244,260,-9,2,1,2,1300.0
26,244,473,-9,2,1,2,0.0
26,244,474,-9,2,1,2,0.0
26,244,475,-9,2,1,2,384.82
26,244,1734,-9,2,1,2,0.0
26,244,250,-9,2,1,2,20000.0
26,244,250,-9,2,1,9,2670430.5
26,244,468,-9,2,1,2,0.0
26,244,477,-9,2,1,2,1393.76
26,244,477,-9,2,2,2,12000000.0
26,244,970,-9,2,1,2,0.0
26,244,1209,-9,2,1,2,0.0
26,244,470,-9,2,1,2,0.0
26,244,1605,-9,2,1,2,0.0
26,244,1710,-9,2,1,2,0.0
26,244,472,-9,2,1,2,452528.29
26,235876,7,-9,2,1,2,0.0
26,72084,2330,-9,2,1,6,1102000.0
26,244,69624,-9,2,1,2,0.0
26,244,84703,-9,2,1,2,0.0
26,244,84712,-9,2,1,2,28543.88
26,244,94739,-9,2,1,2,0.0
26,267175,8,-9,2,1,2,41172.4782
26,41066,48,53,3,1,2,1100000.0
26,41066,185,95586,3,1,2,1065566.0
26,41066,120851,115639,3,1,2,1618000.0
26,41066,120851,115639,3,1,6,5863400.0
26,41066,120851,115639,3,1,7,0.0
26,304,3273,9073,3,2,2,0.0
26,2852,-9,-9,3,1,2,0.0
26,263,2034,237447,3,1,2,7064326.05
26,304,3273,46664,3,2,2,4858497617.75
26,304,3273,46664,3,2,3,520650.0
26,304,3273,46664,3,2,6,3097194573.29
26,304,3273,46664,3,2,7,0.0
26,304,3273,46664,3,2,9,9759950.0
26,72084,1926,3662,3,1,6,0.0
26,72084,1926,40127,3,1,6,672052.48
26,2846,3412,8955,3,1,2,0.0
26,14,3200,2776,3,1,2,319025.0
26,14,3200,2798,3,1,2,0.0
26,-9,-9,-9,3,2,2,0.0
26,1927,-9,-9,3,1,2,0.0
26,14,3200,2791,3,1,2,0.0
26,1927,3205,38207,3,1,2,0.0
26,1927,3205,38207,3,1,6,0.0
26,235881,263749,74560,3,1,2,0.0
26,264359,73537,-9,3,1,6,0.0
26,267175,11,115227,3,1,3,3000000.0
26,235876,77,236554,3,1,2,702608.42
26,14,3200,2817,3,1,2,0.0
26,14,3200,2818,3,1,2,0.0
26,267175,12,-9,3,1,2,1100000.0
26,235881,3413,210964,3,1,2,0.0
26,235881,3413,210964,3,1,6,0.0
26,235880,72104,-9,3,1,2,13090941.0
26,235880,72104,-9,3,1,6,922826.42
26,235880,72104,-9,3,1,9,5000000.0
26,14,3520,-9,3,1,6,3569254.0
26,267175,2055,-9,3,1,2,0.0
26,267175,2055,-9,3,1,6,500000.0
26,235874,1926,102521,3,1,6,353352.38
26,235881,9053,-9,3,1,6,270476.19
26,235881,9053,-9,3,1,7,0.0
26,14,89539,-9,3,1,2,0.0
26,235874,1945,77782,3,2,2,11334232.16
26,235874,1945,77782,3,2,6,0.0
26,235880,38348,-9,3,1,2,52777037.31
26,235880,38348,-9,3,1,9,0.0
