id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,244,117267,-9,1,2,2,334950.0
26,14,25,-9,1,1,2,0.0
26,2852,227,-9,1,1,2,0.0
26,219924,119672,-9,1,1,2,53972.88
26,219924,119672,-9,1,1,3,1600000.0
26,1988,1,-9,1,1,6,25219481.41
26,1988,1,-9,1,1,7,0.0
26,1988,1,-9,1,1,2,26990624.99
26,1988,1,-9,1,1,3,53849291.84
26,1988,1,36554,1,1,2,32263917.95
26,1988,1,36554,1,2,2,-16969.64
26,2852,76608,-9,1,1,2,0.0
26,42670,169,-9,1,1,2,380000.0
26,42670,169,-9,1,1,3,1840700.0
26,42670,169,-9,1,1,6,5044419.82
26,42670,169,-9,1,2,3,0.0
26,304,315,-9,2,2,2,0.0
26,304,315,6099,2,2,2,0.0
26,304,2207,-9,2,2,2,32547722.27
26,304,2207,-9,2,2,3,54351324.07
26,304,2207,-9,2,2,6,10034761.8
26,244,1605,-9,2,1,2,3560.86
26,244,1710,-9,2,1,2,0.0
26,244,1734,-9,2,1,2,0.0
26,244,52702,-9,2,1,2,0.0
26,244,69624,-9,2,1,2,0.0
26,244,84703,-9,2,1,2,0.0
26,244,84712,-9,2,1,2,850.0
26,244,94739,-9,2,1,2,0.0
26,244,471,-9,2,1,2,0.0
26,244,472,-9,2,1,2,294108.29
26,244,473,-9,2,1,2,8971.59
26,244,250,-9,2,1,2,5227534.88
26,244,474,-9,2,1,2,6548.7
26,244,475,-9,2,1,2,0.0
26,244,476,-9,2,1,2,0.0
26,244,477,-9,2,1,2,-337546.37
26,244,477,-9,2,2,2,0.0
26,244,465,-9,2,1,2,0.0
26,244,970,-9,2,1,2,0.0
26,244,1209,-9,2,1,2,0.0
26,244,260,-9,2,1,2,0.0
26,244,468,-9,2,1,2,0.0
26,244,469,-9,2,1,2,0.0
26,244,470,-9,2,1,2,19434.7
26,2981,956,-9,2,1,2,53972.88
26,316,173,87887,2,1,2,0.0
26,2981,7,-9,2,1,2,0.0
26,1926,261,-9,2,1,2,0.0
26,1926,984,2959,2,1,2,0.0
26,1926,1782,-9,2,1,6,200000.0
26,1926,2330,-9,2,1,2,300000.0
26,1926,2330,-9,2,1,6,0.0
26,1988,8,-9,2,1,2,6547718.0592
26,1988,8,-9,2,1,3,0.0
26,1988,8,-9,2,2,2,0.0
26,263,2034,91109,3,1,2,7453064.88
26,263,2034,91109,3,2,2,0.0
26,304,3273,46664,3,2,2,701315754.81
26,304,3273,46664,3,2,3,10631343.99
26,304,3273,46664,3,2,6,112073269.49
26,244,3243,8928,3,1,2,82900000.0
26,244,3243,8928,3,1,6,600000.0
26,304,3273,46664,3,2,7,441760802.0
26,14,3520,-9,3,1,2,1625942.25
26,14,3520,-9,3,1,6,505000.0
26,304,3273,9073,3,2,2,0.0
26,304,3273,9073,3,2,6,0.0
26,-9,-9,-9,3,1,2,0.0
26,-9,-9,-9,3,1,6,579153.3
26,-9,-9,-9,3,2,2,1299711.79
26,244,766,-9,3,1,2,0.0
26,14,2030,-9,3,1,2,580000.0
26,14,3200,2788,3,1,2,0.0
26,14,3200,2793,3,1,2,0.0
26,14,3200,2800,3,1,2,0.0
26,42670,72104,-9,3,1,2,27377058.56
26,42670,72104,-9,3,1,3,33701205.9
26,42670,72104,-9,3,1,6,15408547.0
26,42670,72104,-9,3,1,7,381780.84
26,1945,77782,-9,3,2,2,6147182.4
26,1945,77782,-9,3,2,3,0.0
26,2852,-9,-9,3,1,2,0.0
26,42672,72573,73970,3,1,2,0.0
26,42673,81128,-9,3,1,2,0.0
26,219924,-9,-9,3,1,2,0.0
26,316,-9,-9,3,1,2,34412660.7
26,2981,3517,200100,3,1,2,78141711.5
26,316,-9,-9,3,1,6,1469541.0
26,316,-9,-9,3,1,7,48787454.7
26,316,334,-9,3,1,2,66397.58
26,219924,211159,-9,3,1,6,0.0
26,219924,219930,39263,3,1,2,0.0
26,219925,68487,-9,3,1,2,0.0
26,219925,68487,-9,3,1,6,0.0
26,3162,3270,8904,3,1,2,160000.0
26,3162,3270,8904,3,1,6,0.0
26,219925,-9,-9,3,1,2,4859459.82
26,219925,-9,-9,3,1,6,749994.85
26,219925,-9,-9,3,2,2,2850000.0
26,219925,-9,-9,3,2,6,0.0
26,316,3413,210964,3,1,2,0.0
26,316,3413,210964,3,1,6,285536.1
26,1929,77,99395,3,1,2,322162.5
26,1945,38238,86246,3,2,2,90829791.41
26,1945,38238,86246,3,2,6,4208833.61
26,1988,73537,-9,3,1,6,0.0
26,219925,68554,-9,3,1,2,0.0
26,219925,68554,-9,3,2,2,1735372.18
26,219925,68554,-9,3,2,6,100000.0
26,1988,75234,-9,3,1,6,0.0
26,2846,3412,8956,3,1,2,579126.0
26,226241,324,75394,3,1,2,0.0
26,1945,72571,-9,3,2,2,0.0
26,1929,3433,-9,3,1,2,0.0
26,226241,9053,-9,3,1,6,3766284.29
26,226241,9053,-9,3,1,7,-15378409.0
26,2846,92748,-9,3,1,2,0.0
26,2846,92748,-9,3,1,3,0.0
26,42670,38348,-9,3,1,2,34439009.41
26,42670,38348,-9,3,1,6,350000.0
26,3162,121813,-9,3,1,6,0.0
26,1927,-9,-9,3,1,2,1400000.0
26,1927,89539,-9,3,1,2,0.0
26,36670,74079,-9,3,1,2,499951.32
26,41066,48,53,3,1,2,0.0
26,1988,3234,47229,3,1,2,95000000.0
26,1988,3234,47229,3,1,3,0.0
26,1988,3234,47229,3,2,2,0.0
26,1988,3234,217152,3,1,2,0.0
26,2844,-9,-9,3,2,2,488740.03
26,2844,-9,-9,3,2,6,0.0
26,1926,40127,-9,3,1,2,0.0
26,1926,40127,-9,3,1,6,200000.0
26,1988,11,115227,3,1,3,12638260.15
26,2844,75313,-9,3,1,2,200000.0
26,2844,75313,-9,3,1,6,100000.0
26,42670,42802,73883,3,1,2,-1338.98
26,42670,42802,73883,3,1,6,1028467.0
26,1988,12,-9,3,1,6,0.0
26,1988,12,-9,3,2,2,0.0
26,42670,43032,-9,3,1,2,5228000.0
26,42670,43032,-9,3,1,3,170683321.25
26,42670,43032,-9,3,1,6,100000.0
26,1927,92930,-9,3,1,2,0.0
26,1927,92934,-9,3,1,6,0.0
26,1926,102521,-9,3,1,2,599614.75
26,1926,102521,-9,3,1,6,247734.69
26,1926,119553,-9,3,1,6,0.0
