id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,264359,86567,-9,1,1,6,0.0
26,267175,1,-9,1,1,2,24300414.99
26,267175,1,-9,1,1,6,35818176.01
26,267175,1,-9,1,1,9,0.0
26,235880,169,-9,1,1,2,21083830.88
26,235880,169,-9,1,1,6,3837409.31
26,235880,169,-9,1,1,9,4695651.22
26,235880,169,-9,1,2,3,660000.0
26,235880,169,-9,1,2,9,0.0
26,267175,1,36554,1,1,2,20517618.58
26,267175,1,36554,1,1,6,0.0
26,267175,1,36554,1,2,2,358397.67
26,2852,227,-9,1,1,2,10094.0
26,14,25,-9,1,1,2,437804.0
26,2852,76608,-9,1,1,2,0.0
26,72084,984,2959,2,1,2,3512.56
26,72084,1782,-9,2,1,6,121000.0
26,235876,7,-9,2,1,2,0.0
26,235876,3,-9,2,1,2,0.0
26,244,52702,-9,2,1,2,35005.21
26,244,69624,-9,2,1,2,0.0
26,72084,2330,-9,2,1,2,0.0
26,72084,2330,-9,2,1,6,5720000.0
26,235876,956,-9,2,1,2,48657.86
26,244,1734,-9,2,1,2,850.0
26,244,476,-9,2,1,2,0.0
26,244,477,-9,2,1,2,0.0
26,244,477,-9,2,1,6,0.0
26,244,477,-9,2,1,9,86090.0
26,244,477,-9,2,2,2,0.0
26,244,970,-9,2,1,2,0.0
26,244,1209,-9,2,1,2,0.0
26,244,1605,-9,2,1,2,0.0
26,244,1710,-9,2,1,2,0.0
26,244,475,-9,2,1,2,51740.0
26,267175,8,-9,2,1,6,0.0
26,267175,8,-9,2,1,2,1919657.194352
26,244,474,-9,2,1,2,17767.54
26,244,260,-9,2,1,2,37989.0
26,244,465,-9,2,1,2,0.0
26,244,468,-9,2,1,2,57505.93
26,244,469,-9,2,1,2,0.0
26,244,470,-9,2,1,2,28402.8
26,244,472,-9,2,1,2,42680.58
26,244,473,-9,2,1,2,2396.0
26,244,473,-9,2,1,9,10500.0
26,304,315,-9,2,2,2,0.0
26,244,250,-9,2,1,2,173897.0
26,244,250,-9,2,1,9,78720.0
26,244,94739,-9,2,1,2,0.0
26,244,84703,-9,2,1,2,11851.15
26,244,84712,-9,2,1,2,17774.01
26,304,2207,-9,2,2,2,11113778.85
26,304,2207,-9,2,2,3,-500824.81
26,304,2207,-9,2,2,6,2618772.16
26,304,2207,-9,2,2,7,0.0
26,304,2207,-9,2,2,9,2262653.37
26,235876,77,236554,3,1,2,18011.13
26,41066,48,58,3,1,9,0.0
26,41066,48,68,3,1,2,258.2622
