id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,235880,169,-9,1,1,9,5542149.99
26,235880,169,-9,1,1,2,18531475.0
26,235880,169,-9,1,1,6,4054493.4
26,267175,1,-9,1,1,2,3106821.04
26,267175,1,-9,1,1,6,49060993.65
26,267175,1,-9,1,1,9,3847313.0
26,267175,1,36554,1,1,2,40361101.17
26,2852,227,-9,1,1,2,448671.69
26,244,94739,-9,2,1,2,19320.62
26,235876,956,-9,2,1,2,46046.78
26,72084,2330,-9,2,1,6,100000.0
26,244,260,-9,2,1,2,1100.0
26,244,257,-9,2,1,2,4002.0
26,304,2207,-9,2,2,2,11089796.73
26,304,2207,-9,2,2,3,3524884.12
26,304,2207,-9,2,2,6,2745880.53
26,304,2207,-9,2,2,7,414000.0
26,304,2207,-9,2,2,9,5043011.44
26,244,468,-9,2,1,2,14427.0
26,244,84703,-9,2,1,2,2472.0
26,244,970,-9,2,1,2,32332.56
26,244,1605,-9,2,1,2,0.0
26,244,469,-9,2,1,2,14427.43
26,244,470,-9,2,1,2,21994.37
26,244,471,-9,2,1,2,14427.28
26,244,1710,-9,2,1,2,0.0
26,244,472,-9,2,1,2,451756.36
26,244,1734,-9,2,1,2,42780.5
26,244,473,-9,2,1,2,33470.64
26,244,250,-9,2,1,2,0.0
26,244,474,-9,2,1,2,25229.92
26,244,84712,-9,2,1,2,28851.08
26,244,475,-9,2,1,2,94229.26
26,304,315,-9,2,2,2,100000.0
26,244,52702,-9,2,1,2,0.0
26,244,476,-9,2,1,2,0.0
26,244,477,-9,2,1,2,30364.13
26,244,467,-9,2,1,2,54776.66
26,267175,8,-9,2,1,2,-2067.925338
26,267175,8,-9,2,1,6,500000.0
26,72084,1782,-9,2,1,6,0.0
26,235876,3236,237327,3,2,6,3000000.0
26,14,3200,2788,3,1,2,2000000.0
26,14,3200,2780,3,1,2,135876.0
26,14,211159,-9,3,1,6,0.0
26,14,3200,2816,3,1,6,0.0
26,14,3200,2816,3,1,9,12358.94
26,14,3200,2793,3,1,2,0.0
26,14,3200,2793,3,1,8,0.0
26,14,214528,-9,3,1,2,1955872.78
