id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,1988,1,-9,1,1,2,26083109.83
26,1988,1,-9,1,1,3,7368349.61
26,1988,1,-9,1,1,6,58845799.02
26,1988,1,36554,1,1,2,3139856.94
26,1988,1,36554,1,1,3,22500000.0
26,244,117267,200695,1,2,2,0.0
26,235880,169,-9,1,1,2,458164.44
26,235880,169,-9,1,1,3,12249159.98
26,235880,169,-9,1,1,6,4290610.06
26,235880,169,-9,1,1,7,3345615.91
26,42673,86567,-9,1,1,2,0.0
26,42673,86567,-9,1,1,6,0.0
26,235880,169,-9,1,2,3,2380406.75
26,2846,119672,-9,1,1,3,166721.04
26,2852,227,-9,1,1,2,0.0
26,2852,227,-9,1,1,3,-8292.26
26,2852,76608,-9,1,1,2,0.0
26,244,69624,-9,2,1,2,10181.82
26,244,84703,-9,2,1,2,0.0
26,244,84712,-9,2,1,2,0.0
26,244,94739,-9,2,1,2,0.0
26,1988,8,-9,2,1,3,0.0
26,1988,8,-9,2,2,2,0.0
26,244,250,-9,2,1,2,1492722.25
26,244,52702,-9,2,1,2,35000.0
26,304,2207,-9,2,2,2,2966640.52
26,304,2207,-9,2,2,3,8458103.61
26,304,2207,-9,2,2,6,671800.0
26,1988,8,-9,2,1,2,6172566.243308
26,244,475,-9,2,1,2,6548.7
26,244,476,-9,2,1,2,0.0
26,244,477,-9,2,1,2,217676.4
26,244,970,-9,2,1,2,2000.0
26,244,260,-9,2,1,2,0.0
26,244,1209,-9,2,1,2,0.0
26,244,1605,-9,2,1,2,15289.91
26,244,465,-9,2,1,2,27441.15
26,244,468,-9,2,1,2,0.0
26,244,469,-9,2,1,2,56979.48
26,244,1710,-9,2,1,2,15342.89
26,244,470,-9,2,1,2,12243.47
26,244,1734,-9,2,1,2,2000.0
26,244,471,-9,2,1,2,0.0
26,304,315,-9,2,2,2,0.0
26,244,472,-9,2,1,2,1651796.61
26,244,473,-9,2,1,2,63799.92
26,244,474,-9,2,1,2,0.0
26,235876,956,-9,2,1,2,150000.0
