id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,235880,169,-9,1,1,2,10287000.0
26,235880,169,-9,1,1,6,3681350.0
26,235880,169,-9,1,1,9,9809500.0
26,267175,1,36554,1,1,2,27358829.85
26,244,94739,-9,2,1,2,2396.0
26,244,84703,-9,2,1,2,2715.0
26,244,1710,-9,2,1,2,26663.48
26,244,472,-9,2,1,2,2000.0
26,244,473,-9,2,1,2,517518.89
26,244,250,-9,2,1,2,850664.63
26,304,2207,-9,2,2,2,16799663.42
26,304,2207,-9,2,2,3,200669.46
26,304,2207,-9,2,2,9,4705604.27
26,244,476,-9,2,1,2,10086.0
26,244,468,-9,2,1,2,1000.0
26,72084,1782,-9,2,1,6,59000.0
26,14,3200,2816,3,1,9,17449.99
26,14,214528,-9,3,1,2,120000.0
26,-9,-9,-9,3,2,2,480000.0
26,14,3200,2800,3,1,2,2000000.0
26,235880,38348,-9,3,1,2,69588258.24
26,41066,48,53,3,1,2,550245.22
26,235874,36670,74079,3,1,2,960813.32
26,235881,263749,263750,3,1,6,2185504.91
26,235881,263749,263750,3,1,7,4294126.6
26,235881,263749,263750,3,1,9,287566.79
26,219925,74378,-9,3,1,2,621344.0
26,41066,120851,115639,3,1,2,2810000.0
26,235874,72571,237191,3,2,2,109163380.73
26,235874,72571,237191,3,2,9,600000.0
26,41066,120851,115639,3,1,6,12779621.0
26,41066,120851,115639,3,1,9,1435000.0
26,219925,74380,-9,3,1,2,640410.36
26,304,3273,46664,3,2,2,32578412.29
26,304,3273,46664,3,2,9,31889502.0
26,267175,3234,217151,3,1,2,415837.17
26,267175,3234,217151,3,1,6,111563.0
26,267175,3234,217151,3,1,9,1419876.08
26,1927,3205,38207,3,1,2,977237.53
26,304,45013,-9,4,2,2,14225.78
26,235876,240,-9,4,1,2,22131609.84
26,244,100914,-9,4,1,2,276665.01
26,244,415,-9,4,1,2,1200.0
26,244,423,23295,4,1,2,9126293.26
26,14,1799,4036,4,1,9,142340.65
26,89,-9,-9,4,1,2,5989.09
26,244,249,-9,4,1,2,421727.13
26,14,1799,4025,4,1,7,400000.0
26,244,84710,-9,4,1,2,2396.0
26,244,454,-9,4,1,2,4610.0
26,244,428,-9,4,1,2,382195.28
26,244,458,-9,4,1,2,938000.0
26,244,430,-9,4,1,2,36489.13
26,14,1799,4037,4,1,9,2108724.86
26,244,423,101531,4,1,2,65117.1
26,244,459,-9,4,1,2,2697.5
26,244,426,-9,4,1,2,2679631.05
26,244,426,-9,4,1,6,850000.0
26,244,426,-9,4,1,9,15000000.0
26,244,3561,-9,4,1,2,12487.2
26,244,49103,-9,4,1,2,2300.0
26,244,444,-9,4,1,2,43056.0
26,244,463,-9,4,1,2,651145.0
26,72084,2045,42746,4,1,6,500000.0
26,2852,21089,-9,4,1,2,14777.63
26,267175,4243,-9,4,1,2,13710.84
26,1927,46876,-9,4,1,2,1208900.0
